"CMOR Table Lmon: Monthly Mean Land Fields, Including ",,,,,Lmon,mon,,,,,,,,,,,,,,,,
"Physical, Vegetation, Soil, and Biogeochemical Variables",,,,,,,,,,,,,,,,,,,,,,
"(All fields should be saved on the atmospheric grid; unless otherwise indicated, values are averaged over only the land portion of each grid cell and report 0.0 where land fraction is 0.)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
2.0,Total Primary Deciduous Tree Fraction,%,"Agregation of model PFTs as defined in 1st priority to aid model intercomparison.  This is the fraction of the entire grid cell  that is covered by ""total primary deciduous trees.""    ","I think we need to add a scalar coordinate variable where some indication of ""tree"" needs to be included.  ",treeFracPrimDec,area_fraction,,%,time: mean,,,,,,real,longitude latitude time,treeFracPrimDec,land,,area: areacella,,
2.0,Total Primary Evergreen Tree Cover Fraction,%,fraction of entire grid cell  that is covered by primary evergreen trees. ,,treeFracPrimEver,,total_primary_evergreen_tree_cover_fraction,%,time: mean,,,,,,real,longitude latitude time,treeFracPrimEver,land,,area: areacella,,
2.0,Total Secondary Deciduous Tree Cover Fraction,%,fraction of entire grid cell  that is covered by secondary deciduous trees.,,treeFracSecDec,,total_secondary_deciduous_tree_cover_fraction,%,time: mean,,,,,,real,longitude latitude time,treeFracSecDec,land,,area: areacella,,
2.0,Total Secondary Evergreen Tree Cover Fraction,%,fraction of entire grid cell  that is covered by secondary evergreen trees.,,treeFracSecEver,,total_secondary_evergreen_tree_cover_fraction,%,time: mean,,,,,,real,longitude latitude time,treeFracSecEver,land,,area: areacella,,
2.0,Total C3 PFT Cover Fraction,%,"fraction of entire grid cell  that is covered by C3 PFTs (including grass, crops, and trees).",,c3PftFrac,,total_c3_pft_cover_fraction,%,time: mean,,,,,,real,longitude latitude time,c3PftFrac,land,,area: areacella,,
2.0,Total C4 PFT Cover Fraction,%,fraction of entire grid cell  that is covered by C4 PFTs (including grass and crops).,,c4PftFrac,,total_c4_pft_cover_fraction,%,time: mean,,,,,,real,longitude latitude time,c4PftFrac,land,,area: areacella,,
2.0,Carbon Mass Flux into Atmosphere due to Growth Autotrophic Respiration on Land,kg m-2 s-1,"This flux and the one in the following row provide a breakdown of the higher priority ""Autotrophic (Plant) Respiration"" in an earlier row of this table; thus the sum should be identical to that.",,rGrowth,,PF: for consistency with row 40: growth_autothrophic_respiration NOT PROPOSED - recommend plant_respiration_carbon_flux_due_to_growth for consistency with row 52,kg m-2 s-1,time: mean area: mean where land,,,,,up,real,longitude latitude time,rGrowth,land,,area: areacella,,
2.0,Carbon Mass Flux into Atmosphere due to Maintenance Autotrophic Respiration on Land,kg m-2 s-1,"This flux and the one in the previous row provide a breakdown of the higher priority ""Autotrophic (Plant) Respiration"" in an earlier row of this table; thus the sum should be identical to that.",,rMaint,,PF: for consistency with row 40: maintenance_autothrophic_respiration NOT PROPOSED - recommend plant_respiration_carbon_flux_due_to_maintenance for consistency with row 52 (what is 'maintenance'?),kg m-2 s-1,time: mean area: mean where land,,,,,up,real,longitude latitude time,rMaint,land,,area: areacella,,
2.0,Carbon Mass Flux due to NPP Allocation to Leaf,kg m-2 s-1,This is the rate of carbon uptake by leaves due to NPP,,nppLeaf,,PF: net_primary_production_allocated_into_leaves npp_allocation_to_leaf NOT PROPOSED - what is npp? Don't understand this quantity.,kg m-2 s-1,time: mean area: mean where land,,,,,down,real,longitude latitude time,nppLeaf,land,,area: areacella,,
2.0,Carbon Mass Flux due to NPP Allocation to Wood,kg m-2 s-1,This is the rate of carbon uptake by wood due to NPP,,nppWood,,PF: net_primary_production_allocated_into_wood npp_allocation_to_wood NOT PROPOSED - what is npp? Don't understand this quantity.,kg m-2 s-1,time: mean area: mean where land,,,,,down,real,longitude latitude time,nppWood,land,,area: areacella,,
2.0,Carbon Mass Flux due to NPP Allocation to Roots,kg m-2 s-1,This is the rate of carbon uptake by roots due to NPP,,nppRoot,,PF: net_primary_production_allocated_into_roots npp_allocation_to_root NOT PROPOSED - what is npp? Don't understand this quantity.,kg m-2 s-1,time: mean area: mean where land,,,,,down,real,longitude latitude time,nppRoot,land,,area: areacella,,
1.0,Net Carbon Mass Flux out of Atmophere due to Net Ecosystem Productivity on Land.,kg m-2 s-1,"Natural flux of CO2 (expressed as a mass flux of carbon) from the atmosphere to the land calculated as the difference between uptake associated will photosynthesis and the release of CO2 from the sum of plant and soil respiration and fire.  Positive flux is into the land.  emissions from natural fires + human ignition fires as calculated by the fire module of the DGVM, but excluding any CO2 flux from fire included in fLuc, defined below (CO2 Flux to Atmosphere from Land Use Change).",,nep,,net_ecosystem_productivity_of_carbon_dioxide,kg m-2 s-1,time: mean area: mean where land,,,,,down,real,longitude latitude time,nep,land,,area: areacella,,


