1,Relative Humidity,%,"This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",,hur,relative_humidity,,%,time: point,,,,,,real,"alevel, site, time1",hur,atmos
1,omega (=dp/dt),Pa s-1,"commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)",,wap,lagrangian_tendency_of_air_pressure,,Pa s-1,time: point,,,,,,real,"alevel, site, time1",wap,atmos
1,Geopotential Height,m,,,zg,geopotential_height,,m,time: point,,,,,,real,"alevel, site, time1",zg,atmos
1,Upwelling Longwave Radiation,W m-2,,,rlu,upwelling_longwave_flux_in_air,,W m-2,time: point,,,,,up,real,"alevel, site, time1",rlu,atmos
1,Upwelling Shortwave Radiation,W m-2,,,rsu,upwelling_shortwave_flux_in_air,,W m-2,time: point,,,,,up,real,"alevel, site, time1",rsu,atmos
1,Downwelling Longwave Radiation,W m-2,,,rld,downwelling_longwave_flux_in_air,,W m-2,time: point,,,,,down,real,"alevel, site, time1",rld,atmos
1,Downwelling Shortwave Radiation,W m-2,,,rsd,downwelling_shortwave_flux_in_air,,W m-2,time: point,,,,,down,real,"alevel, site, time1",rsd,atmos
1,Upwelling Clear-Sky Longwave Radiation,W m-2,,,rlucs,upwelling_longwave_flux_in_air_assuming_clear_sky,,W m-2,time: point,,,,,up,real,"alevel, site, time1",rlucs,atmos
1,Upwelling Clear-Sky Shortwave Radiation,W m-2,,,rsucs,upwelling_shortwave_flux_in_air_assuming_clear_sky,,W m-2,time: point,,,,,up,real,"alevel, site, time1",rsucs,atmos
1,Downwelling Clear-Sky Longwave Radiation,W m-2,,,rldcs,downwelling_longwave_flux_in_air_assuming_clear_sky,,W m-2,time: point,,,,,down,real,"alevel, site, time1",rldcs,atmos
1,Downwelling Clear-Sky Shortwave Radiation,W m-2,,,rsdcs,downwelling_shortwave_flux_in_air_assuming_clear_sky,,W m-2,time: point,,,,,down,real,"alevel, site, time1",rsdcs,atmos
1,Tendency of Air Temperature,K s-1,,,tnt ,,tendency_of_air_temperature,K s-1,time: point,,,,,,real,"alevel, site, time1",tnt ,atmos
1,Tendency of Air Temperature due to Advection,K s-1,,,tnta ,,tendency_of_air_temperature_due_to_advection,K s-1,time: point,,,,,,real,"alevel, site, time1",tnta ,atmos
1,Tendency of Air Temperature due to Diabatic Processes,K s-1,,,tntdp ,,tendency_of_air_temperature_due_to_diabatic_processes,K s-1,time: point,,,,,,real,"alevel, site, time1",tntdp ,atmos
1,Tendency of Air Temperature due to Stratiform Cloud Condensation and Evaporation,K s-1,,,tntscce ,,tendency_of_air_temperature_due_to_stratiform_cloud_condensation_and_evaporation,K s-1,time: point,,,,,,real,"alevel, site, time1",tntscce ,atmos
1,Tendency of Air Temperature due to Radiative Heating,K s-1,,,tntr ,,tendency_of_air_temperature_due_to_radiative_heating,K s-1,time: point,,,,,,real,"alevel, site, time1",tntr ,atmos
1,Tendency of Air Temperature due to Moist Convection,K s-1,,,tntmc ,,tendency_of_air_temperature_due_to_moist_convection,K s-1,time: point,,,,,,real,"alevel, site, time1",tntmc ,atmos
1,Tendency of Specific Humidity,s-1,,,tnhus,,tendency_of_specific_humidity,s-1,time: point,,,,,,real,"alevel, site, time1",tnhus,atmos
1,Tendency of Specific Humidity due to Advection,s-1,,,tnhusa ,,tendency_of_specific_humidity_due_to_advection,s-1,time: point,,,,,,real,"alevel, site, time1",tnhusa ,atmos
1,Tendency of Specific Humidity due to Convection,s-1,,,tnhusc ,,tendency_of_specific_humidity_due_to_convection,s-1,time: point,,,,,,real,"alevel, site, time1",tnhusc ,atmos
1,Tendency of Specific Humidity due to Diffusion,s-1,,,tnhusd ,,tendency_of_specific_humidity_due_to_diffusion,s-1,time: point,,,,,,real,"alevel, site, time1",tnhusd ,atmos
1,Tendency of Specific Humidity due to Stratiform Cloud Condensation and Evaporation,s-1,,,tnhusscce ,,tendency_of_specific_humidity_due_to_stratiform_cloud_condensation_and_evaporation,s-1,time: point,,,,,,real,"alevel, site, time1",tnhusscce ,atmos
1,Tendency of Specific Humidity due to Model Physics,s-1,,,tnhusmp ,,tendency_of_specific_humidity_due_to_model_physics,s-1,time: point,,,,,,real,"alevel, site, time1",tnhusmp ,atmos
1,Eddy Viscosity Coefficient for Momentum Variables,m2 s-1,,,evu,,eddy_viscosity_coefficients_for_momentum_variables,m2 s-1,time: point,,,,,,real,"alevel, site, time1",evu,atmos
1,Eddy Diffusivity Coefficient for Temperature Variable,m2 s-1,,,edt,,eddy_diffusivity_coefficients_for_temperature_variable,m2 s-1,time: point,,,,,,real,"alevel, site, time1",edt,atmos
1,Eddy Diffusivity Coefficient for Water Variables,m2 s-1,,,edw,,eddy_diffusivity_coefficients_for_water_variables,m2 s-1,time: point,,,,,,real,"alevel, site, time1",edw,atmos
