description,original label,mip,# of sub-expts.,min ens. size,start year,end year,min. # yrs/sim,tier,experiment_id,seg-1,seg-2,seg-3,sub_ experiment_ id,required model components,additional allowed model components,experiment label used in final version of GMD article,experiment title,sub_experiment (title),parent_ experiment_id,parent_sub_ experiment_id,parent_activity_id,Questions/Comments/Notes,number of char.,
"Future SSP3-7.0 with reduced NTCF emissions, prescribed SSTs",NTCFRESPntcf,AerChemMIP,1,1,2015,2055,41,1,ssp370SST-lowNTCF,ssp370SST,lowNTCF,,none,AGCM AER CHEM,,ssp370SST-lowNTCF,"SSP3-7.0, prescribed SSTs, with low NTCF emissions",none,,,,,17,
"Future SSP3-7.0 with reduced aerosol emissions (from ssp370-lowNTCF), prescribed SSTs",NTCFRESPnox,AerChemMIP,1,1,2015,2055,41,1,ssp370SST-lowAer,ssp370SST,lowAer,,none,AGCM AER,CHEM,ssp370SST-lowAer,"SSP3-7.0, prescribed SSTs, with low aerosol emissions",none,,,,,16,
"Future SSP3-7.0 with reduced black carbon emissions, prescribed SSTs",NTCFRESPbc,AerChemMIP,1,1,2015,2055,41,1,ssp370SST-lowBC,ssp370SST,lowBC,,none,AGCM AER,CHEM,ssp370SST-lowBC,"SSP3-7.0, prescribed SSTs, with low black carbon emissions",none,,,,,15,
"Future SSP3-7.0 with reduced ozone precursor emisions (from ssp370-lowNTCF), prescribed SSTs",NTCFRESPo3,AerChemMIP,1,1,2015,2055,41,1,ssp370SST-lowO3,ssp370SST,lowO3,,none,AGCM AER CHEM,,ssp370SST-lowO3,"SSP3-7.0, prescribed SSTs, with low ozone precursor emissions",none,,,,,15,
"Future SSP3-7.0 with reduced CH4 concentrations, prescribed SSTs",NTCFRESPo3ch4,AerChemMIP,1,1,2015,2055,41,1,ssp370SST-lowCH4,ssp370SST,lowCH4,,none,AGCM AER CHEM,,ssp370SST-lowCH4,"SSP3-7.0, prescribed SSTs, with low methane concentrations",none,,,,,16,
" Future SSP3-7.0 with low land use change (from ssp126), prescribed SSTs",,AerChemMIP,1,1,2015,2055,41,1,ssp370SST-ssp126Lu,ssp370SST,ssp126Lu,,none,AGCM AER,CHEM,ssp370SST-ssp126Lu,"SSP3-7.0, prescribed SSTs, with SSP1-2.6 land use",none,,,,,18,
1850 control ,RFDOCcntrl,RFMIP AerChemMIP,1,1,,,30,1,,,,,,,,piClim-control,effective radiative forcing in present-day ,,,,,This is listed under RFMIP.,,
Perturbation from 1850 control using 2014 aerosol and ozone precursor emissions,RFDOCntcf,AerChemMIP,1,1,,,30,1,piClim-NTCF,piClim,NTCF,,none,AGCM AER CHEM,,piClim-NTCF,"pre-industrial climatolgical SSTs and forcing, but with 2014 NTCF emissions",none,,,,,11,
Perturbation from 1850 control using 2014 aerosol emissions,RFDOCbc,AerChemMIP,1,1,,,30,2,piClim-aer,piClim,aer,,none,AGCM AER,CHEM,piClim-aer,"pre-industrial climatological SSTs and forcing, but 2014 aerosol emissions",none,,,,,10,
Perturbation from 1850 control using 2014 BC emissions,RFDOCbc,AerChemMIP,1,1,,,30,2,piClim-BC,piClim,BC,,none,AGCM AER,CHEM,piClim-BC,"pre-industrial climatological SSTs and forcing, but with 2014 black carbon emissions",none,,,,,9,
Perturbation from 1850 control using 2014 ozone precursor emissions,RFDOCo3,AerChemMIP,1,1,,,30,2,piClim-O3,piClim,O3,,none,AGCM AER CHEM,,piClim-O3,"pre-industrial climatological SSTs and forcing, but with 2014 ozone precursor emissions",none,,,,,9,
Perturbation from 1850 control using 2014 CH4 concentrations,RFDOCch4,AerChemMIP,1,1,,,30,2,piClim-CH4,piClim,CH4,,none,AGCM AER CHEM,,piClim-CH4,"pre-industrial climatological SSTs and forcing, but with 2014 methane concentrations (including chemistry)",none,,,,,10,
Perturbation from 1850 control using 2014 N2O concentrations,RFDOCn2o,AerChemMIP,1,1,,,30,2,piClim-N2O,piClim,N2O,,none,AGCM AER CHEM,,piClim-N2O,"pre-industrial climatological SSTs and forcing, but with 2014 N2O concentrations (including chemistry)",none,,,,,10,
Perturbation from 1850 control using 2014 halocarbon concentrations,RFDOCods,AerChemMIP,1,1,,,30,2,piClim-HC,piClim,HC,,none,AGCM AER CHEM,,piClim-HC,"pre-industrial climatological SSTs and forcing, but with 2014 halocarbon concentrations (including chemistry)",none,,,,,9,
Perturbation from 1850 control using 2014 NOx emissions,RFDOCnox,AerChemMIP,1,1,,,30,3,piClim-NOX,piClim,NOX,,none,AGCM AER CHEM,,piClim-NOX,"pre-industrial climatological SSTs and forcing, but with 2014 NOx emissions",none,,,,,10,
Perturbation from 1850 control using 2014 CO/VOC emissions,RFDOCcovoc,AerChemMIP,1,1,,,30,3,piClim-VOC,piClim,VOC,,none,AGCM AER CHEM,,piClim-VOC,"pre-industrial climatological SSTs and forcing, but with 2014 VOC emissions",none,,,,,10,
1850 control with doubled dust emissions,FDBCKdust,AerChemMIP,1,1,,,30,2,piClim-2xdust,piClim,2xdust,,none,AGCM AER,CHEM,piClim-2xdust,"pre-industrial climatological SSTs and forcing, but with doubled emissions of dust",none,,,,,13,
1850 control with doubled sea salt emissions,FDBCKss,AerChemMIP,1,1,,,30,2,piClim-2xss,piClim,2xss,,none,AGCM AER,CHEM,piClim-2xss,"pre-industrial climatological SSTs and forcing, but with doubled emissions of sea salt",none,,,,,11,
1850 control with doubled emissions of DMS,FDBCKdms,AerChemMIP,1,1,,,30,3,piClim-2xDMS,piClim,2xDMS,,none,AGCM AER,CHEM,piClim-2xDMS,"pre-industrial climatological SSTs and forcing, but with doubled emissions of DMS",none,,,,,12,
1850 control with doubled emissions of fires,FDBCKfire,AerChemMIP,1,1,,,30,3,piClim-2xfire,piClim,2xfire,,none,AGCM AER,CHEM,piClim-2xfire,"pre-industrial climatological SSTs and forcing, but with doubled emissions from fires",none,,,,,13,
1850 control with doubled emissions of lightning Nox,FDBCKnox,AerChemMIP,1,1,,,30,3,piClim-2xNOX,piClim,2xNOX,,none,AGCM AER CHEM,,piClim-2xNOX,"pre-industrial climatological SSTs and forcing, but with doubled production of NOX due to lightning",none,,,,,12,
1850 control with doubled emissions of biogenic VOCs,FDBCKvoc,AerChemMIP,1,1,,,30,3,piClim-2xVOC,piClim,2xVOC,,none,AGCM AER CHEM,,piClim-2xVOC,"pre-industrial climatological SSTs and forcing, but with doubled emissions of biogenic VOCs",none,,,,,12,
Biogeochemically-coupled specified concentration simulation in which CO2 increases at a rate of 1% per year until quadrupling,esm1pcbgc,C4MIP,1,1,,,150,1,1pctCO2-bgc,1pctCO2,bgc,,none,AOGCM BGM,AER CHEM,1pctCO2-bgc,biogeochemically-coupled version of 1 percent per year increasing CO2 experiment,none,piControl,none,CMIP,,11,
"Fully-coupled specified concentration simulation in which CO2 increases at a rate of 1% per year until quadrupling, plus an additional scenario of anthropogenic nitrogen deposition",esm1pccouNdep,C4MIP,1,1,,,150,2,1pctCO2Ndep,1pctCO2Ndep,,,none,AOGCM BGM,AER CHEM BGM,1pctCO2Ndep,1 percent per year increasing CO2 experient with increasing N-deposition,none,piControl,none,CMIP,,11,
"Biogeochemically-coupled specified concentration simulation in which CO2 increases at a rate of 1% per year until quadrupling, plus an additional scenario of anthropogenic nitrogen deposition",esm1pcbgcNdep,C4MIP,1,1,,,150,2,1pctCO2Ndep-bgc,1pctCO2Ndep,bgc,,none,AOGCM BGM,AER CHEM,1pctCO2Ndep-bgc,biogeochemically-coupled version of 1 percent per year increasing CO2 experiment with increasing N-deposition,none,piControl,none,CMIP,,15,
Radiatively-coupled specified concentration simulation in which CO2 increases at a rate of 1% per year until quadrupling,esm1pcrad,C4MIP,1,1,,,150,2,1pctCO2-rad,1pctCO2,rad,,none,AOGCM BGM,AER CHEM,1pctCO2-rad,radiatively-coupled version of 1 percent per year increasing CO2 experiment,none,piControl,none,CMIP,,11,
"Concentration-driven historical simulation,  biogeochemically-coupled",esmhistbgc,C4MIP,1,1,1850,2014,165,2,hist-bgc,hist,bgc,,none,AOGCM BGM,AER CHEM,hist-bgc,biogeochemically-coupled version of the simulation of the recent past with CO2 concentration prescribed ,none,piControl,none,CMIP,,8,
Emissions-driven future scenario simulation,Esmssp585,C4MIP,1,1,2015,2100,85,1,esm-ssp585,esm,ssp585,,none,ESM,AER CHEM,esm-ssp585,emission-driven RCP8.5 based on SSP5,none,esm-hist,none,CMIP,,10,
"Concentration-driven future scenario simulation,  biogeochemically-coupled",Esmssp585bgc,C4MIP,1,1,2015,2100,85,2,ssp585-bgc,ssp585,bgc,,none,AOGCM BGM,AER CHEM,ssp585-bgc,biogeochemically-coupled version of the RCP8.5 based on SSP5,none,hist-bgc,none,C4MIP,,10,
,,C4MIP,1,1,2015,2100,85,2,ssp585-over-bgc,ssp585,over,bgc,none,AOGCM BGM,AER CHEM,ssp585-over-bgc,biogeochemically-coupled version of the RCP3.4-overshoot based on SSP5,none,hist-bgc,none,C4MIP,,15,
Concentration-driven future scenario simulation extension to 2300 biogeochemically-coupled,Esmssp585extbgc,C4MIP,1,1,2101,2300,200,2,,,,,,,,ssp585-bgc,biogeochemically-coupled version of the RCP8.5 based on SSP5,,,,,extension of ssp585-bgc to year 2300.,,
"Identical to the DECK abrupt-4xCO2, but at 0.5xCO2",Abrupt05xco2,CFMIP,1,1,,,150,2,abrupt-0p5xCO2,abrupt,0p5xCO2,,none,AOGCM,AER CHEM BGM,abrupt-0p5xCO2,abrupt halving of CO2,none,piControl,none,CMIP,,14,
"Identical to the DECK abrupt-4xCO2, but at 2xCO2",abrupt2xCO2,CFMIP,1,1,,,150,2,abrupt-2xCO2,abrupt,2xCO2,,none,AOGCM,AER CHEM BGM,abrupt-2xCO2,abrupt doubling of CO2,none,piControl,none,CMIP,,12,
"Conceptually similar to abrupt 4xCO2 DECK experiment, except that the solar constant rather than CO2 is abruptly reduced by 4%.",abruptSm4,CFMIP,1,1,,,150,2,abrupt-solm4p,abrupt,solm4p,,none,AGCM,AER CHEM,abrupt-solm4p,abrupt 4% decrease in solar constant,none,piControl,none,CMIP,,13,
"Conceptually similar to abrupt 4xCO2 DECK experiment, except that the solar constant rather than CO2 is abruptly increased by 4%.",abruptSp4,CFMIP,1,1,,,150,2,abrupt-solp4p,abrupt,solp4p,,none,AGCM,AER CHEM,abrupt-solp4p,abrupt 4% increase in solar constant,none,piControl,none,CMIP,,13,
"This a single ensemble member of the AMIP DECK experiment which contains additional outputs which are required for model evaluation using COSP, and as control values for model outputs in the amip-p4K, amip-4xCO2, amip-future4K and amip-m4K experiments.",amip,CMIP,1,1,1979,2014,36,1,,,,,,,,amip,AMIP DECK ensemble member with extra CFMIP outputs,,,,,special output requested.,,
As CMIP5/CFMIP-2 amip4K experiment.  AMIP experiment where SSTs are subject to a uniform warming of 4K.,amip4K,CFMIP,1,1,1979,2014,36,1,amip-p4K,amip,p4K,,none,AGCM,AER CHEM,amip-p4K,AMIP with uniform 4K SST increase,none,,,,changed name from amip4K in CMIP5  to parallel other expts. in CMIP6.,8,
As CMIP5/CFMIP-2 amip4xCO2 experiment.  AMIP experiment where SSTs are held at control values and the CO2 seen by the radiation scheme is quadrupled.,amip4xCO2,CFMIP,1,1,1979,2014,36,1,amip-4xCO2,amip,4xCO2,,none,AGCM,AER CHEM,amip-4xCO2,AMIP SSTs with 4xCO2,none,,,,,10,
"As CMIP5/CFMIP-2 amipFuture experiment.  AMIP experiment where SSTs are subject to a composite SST warming pattern derived from coupled models, scaled to an ice-free ocean mean of 4K.",amipFuture,CFMIP,1,1,1979,2014,36,1,amip-future4K,amip,pat4K,,none,AGCM,AER CHEM,amip-future4K,AMIP with patterned 4K SST increase,none,,,,,13,
As amip experiment but SSTs are subject to a uniform cooling of 4K.,amipMinus4K,CFMIP,1,1,1979,2014,36,2,amip-m4K,amip,m4K,,none,AGCM,AER CHEM,amip-m4K,AMIP with uniform 4K SST decrease,none,,,,,8,
Identical to standard AMIP experiment but from 1870-present with constant pre-industrial forcing levels (anthro & natural),amipPiForcing,CFMIP,1,1,1870,2014,145,2,amip-piForcing,amip,piForcing,,none,AGCM,AER CHEM,amip-piForcing,AMIP SSTs with pre-industrial anthro and natural forcing,none,,,,,14,
Extended version of CMIP5/CFMIP-2 aqua4K experiment.  Aquaplanet experiment where SSTs are subject to a uniform warming of 4K.,aqua4K,CFMIP,1,1,,,10,1,aqua-p4K,aqua,p4K,,none,AGCM,AER CHEM,aqua-p4K,aquaplanet with uniform 4K SST increase,none,,,,"changed name from ""aqua4K"" in CMIP5 to ""aqua-p4K"" in CMIP6. to parallel names of other experiments.",8,
Extended version of CMIP5/CFMIP-2 aqua4xCO2 experiment.  Aquaplanet experiment where SSTs are held at control values and the CO2 seen by the radiation scheme is quadrupled.,aqua4xCO2,CFMIP,1,1,,,10,1,aqua-4xCO2,aqua,4xCO2,,none,AGCM,AER CHEM,aqua-4xCO2,aquaplanet with control SST and 4xCO2,none,,,,,10,
Extended version of CMIP5/CFMIP-2 aquaControl experiment.  Aquaplanet (no land) experiment with no seasonal cycle forced with specified zonally symmetric SSTs.,aquaControl,CFMIP,1,1,,,10,1,aqua-control,aqua,control,,none,AGCM,AER CHEM,aqua-control,aquaplanet control,none,,,,,12,
"As amip experiment, but with cloud-radiative effects switched off in the LW radiation code.",offlwamip,CFMIP,1,1,1979,2014,36,2,amip-lwoff,amip,lwoff,,none,AGCM,AER CHEM,amip-lwoff,AMIP experiment with longwave cloud-radiative effects off,none,,,,,10,
"As amip-p4K experiment, but with cloud-radiative effects switched off in the LW radiation code.",offlwamip4K,CFMIP,1,1,1979,2014,36,2,amip-p4K-lwoff,amip,p4K,lwoff,none,AGCM,AER CHEM,amip-p4K-lwoff,AMIP experiment with uniform 4K SST increase and with longwave cloud radiative effects off,none,,,,,14,
"As aqua-p4K experiment, but with cloud-radiative effects switched off in the LW radiation code.",offlwaqua4K,CFMIP,1,1,,,10,2,aqua-p4K-lwoff,aqua,p4K,lwoff,none,AGCM,AER CHEM,aqua-p4K-lwoff,aquaplanet with uniform 4K SST increase and with longwave cloud radiative effects off,none,,,,,14,
"As aqua-control experiment, but with cloud-radiative effects switched off in the LW radiation code.",offlwaquaControl,CFMIP,1,1,,,10,2,aqua-control-lwoff,aqua,control,lwoff,none,AGCM,AER CHEM,aqua-control-lwoff,aquaplanet control with longwave cloud radiative effects off,none,,,,,18,
"An AGCM experiment with monthly-varying SSTs, sea-ice, atmospheric constituents and any other necessary boundary conditions (e.g. vegetation if required) taken from each model's own piControl run (using the 30 years of piControl that are parallel to years 111-140 of its abrupt4xCO2 run). Dynamic vegetation should be turned off in all the piSST set of experiments.",sstPi,CFMIP,1,1,Year 111-140 of piControl,Year 111-140 of piControl,30,2,piSST,piSST,,,none,AGCM,AER CHEM,piSST,"experiment forced with pre-industrial SSTs, sea ice and atmospheric constituents.",none,,,,This is *not* a climatology. ,5,
"Same as piSST, but with a spatially and temporally uniform SST anomaly applied on top of the monthly-varying piSST SSTs. The magnitude of the uniform increase is taken from each model's global, climatological annual mean SST change between abrupt4xCO2 minus piControl (using the mean of years 111-140 of abrupt4xCO2, and the parallel 30-year section of piControl).",sstPiUniform,CFMIP,1,1,,,20,2,piSST-pxK,piSST,pxK,,none,AGCM,AER CHEM,piSST-pxK,as piSST with uniform SST increase with magnitude based on abrupt4xCO2 response,none,,,,,9,
Same as piSST but CO2 as seen by the radiation scheme is quadrupled.,sstPi4xCO2,CFMIP,1,1,,,30,2,piSST-4xCO2-rad,piSST,4xCO2,rad,none,AGCM,AER CHEM,piSST-4xCO2-rad,as piSST with radiation-only seeing 4xCO2,none,,,,,15,
Same as piSST but CO2 is quadrupled. The increase in CO2 is seen by both the radiation scheme and vegetation.,sstPi4xCO2Veg,CFMIP,1,1,,,30,2,piSST-4xCO2,piSST,4xCO2,,none,AGCM,AER CHEM,piSST-4xCO2,as piSST with radiation and vegetation seeing 4xCO2,none,,,,,11,
"As piSST, but with monthly-varying SSTs taken from years 111-140 of each model's own abrupt4xCO2 experiment instead of from piControl. Sea-ice is unchanged from piSST.",new experiment,CFMIP,1,1,,,30,2,a4SST,a4SST,,,none,AGCM,AER CHEM,a4SST,as piSST but with SSTs from abrupt4xCO2,none,,,,,5,
"As piSST, but with monthly-varying SSTs and sea-ice taken from years 111-140 of each model's own abrupt4xCO2 experiment instead of from piControl.",sstPiFuture,CFMIP,1,1,,,30,2,a4SSTice,a4SSTice,,,none,AGCM,AER CHEM,a4SSTice,as piSST but with SSTs and sea ice from abrupt4xCO2,none,,,,,8,
"As a4SSTice, but CO2 is quadrupled, and the increase in CO2 is seen by both the radiation scheme and vegetation.",sstPiTot,CFMIP,1,1,,,30,2,a4SSTice-4xCO2,a4SSTice,4xCO2,,none,AGCM,AER CHEM,a4SSTice-4xCO2,"as piSST but with SSTs and sea ice from abrupt4xCO2, and 4xCO2 seen by radiation and vegetation.",none,,,,,14,
"Same as amip, but a patterned SST anomaly is applied on top of the monthly-varying amip SSTs. This anomaly is a monthly climatology, taken from each model's own abrupt4xCO2 run minus piControl (using the mean of years 111-140 of abrupt4xCO2, and the parallel 30-year section of piControl). CO2 is quadrupled, and the increase in CO2 is seen by both the radiation scheme and vegetation.",sstPiTot,CFMIP,1,1,,,36,2,amip-a4SST-4xCO2,amip,a4SST,4xCO2,none,AGCM,AER CHEM,amip-a4SST-4xCO2,as AMIP but with warming pattern from abrupt4xCO2 added to SSTs and 4xCO2 seen by radiation and vegetation,none,,,,,16,
DECK: 1pctCO2,1pctCO2,CMIP,1,1, , ,150,1,1pctCO2,1pctCO2,,,none,AOGCM,AER CHEM BGM,1pctCO2,1 percent per year increase in CO2,none,piControl,none,CMIP,,7,
DECK: abrupt4xCO2,abrupt4xCO2,CMIP,1,1, , ,150,1,abrupt-4xCO2,abrupt,4xCO2,,none,AOGCM,AER CHEM BGM,abrupt-4xCO2,abrupt quadrupling of CO2,none,piControl,none,CMIP,,12,
DECK: AMIP,AMIP,CMIP,1,1,1979,2014,36,1,amip,amip,,,none,AGCM,AER CHEM,amip,AMIP,none,,,,,4,
DECK: control,control,CMIP,1,1, , ,500,1,piControl,piControl,,,none,AOGCM,AER CHEM BGM,piControl,pre-industrial control,none,piControl-spinup,none,CMIP,,9,
DECK: control (emission-driven),esmControl,CMIP,1,1, , ,500,1,esm-piControl,esm,piControl,,none,ESM,AER CHEM,esm-piControl,pre-industrial control simulation with CO2 concentration calculated,none,esm-piControl-spinup,none,CMIP,,13,
DECK: spin-up portion of the control,,CMIP,1,1,,,100,2,piControl-spinup,piControl,spinup,,none,AOGCM,AER CHEM BGM,piControl-spinup,pre-industrial control (spin-up),none,,,,,16,
DECK: spin-up portion of the control (emission-driven),,CMIP,1,1,,,100,2,esm-piControl-spinup,esm,piControl,spinup,none,ESM,AER CHEM,esm-piControl-spinup,pre-industrial control simulation with CO2 concentration calculated (spiin-up),none,,,,,20,
CMIP6 historical ,historical,CMIP,1,1,1850,2014,165,1,historical,historical,,,none,AOGCM,AER CHEM BGM,historical,all-forcing simulation of the recent past,none,piControl,none,CMIP,,10,
CMIP6  historical (CO2 emission-driven),esmHistorical,CMIP,1,1,1850,2014,165,1,esm-hist,esm,hist,,none,ESM,AER CHEM,esm-hist,all-forcing simulation of the recent past with atmospheric CO2 concentration calculated ,none,esm-piControl,none,CMIP,,8,
Extension beyond 2014 of the CMIP6 historical ,,CMIP,1,1,2015,,1,2,historical-ext,historical,ext,,none,AOGCM,AER CHEM BGM,historical-ext,post-2014 all-forcing simulation,none,historical,none,CMIP,,14,
Extension beyond 2014 of the CMIP6 historical  (CO2 emission-driven),,CMIP,1,1,2015,,1,2,esm-hist-ext,esm,hist,ext,none,ESM,AER CHEM,esm-hist-ext,post-2014 all-forcing simulation with atmospheric CO2 concentration calculated,none,esm-hist,none,CMIP,,12,
Historical anthropogenic-Aerosols-only run. ,histAER,DAMIP,1,3,1850,2020,171,1,hist-aer,hist,aer,,none,AOGCM,"AER CHEM, BGM",histAER,historical anthropogenic aerosols-only run,none,piControl,none,CMIP,,8,
Historical CO2-only run. ,histCO2,DAMIP,1,3,1850,2020,171,3,hist-CO2,hist,CO2,,none,AOGCM,"AER CHEM, BGM",histCO2,historical CO2-only run,none,piControl,none,CMIP,,8,
Enlarge SSP2-4.5 ensemble to 10 members bu only for years 2015-2020,,DAMIP,1,9,2015,2020,6,1,,,,,,,,ssp245,update of RCP4.5 based on SSP2,,,,,"enlarge ssp245, but just for years 2015-2020",,
"* Enlarging ensemble size of the CMIP6 hisorical simulations (2015-2020 under SSP2-4.5 of ScenarioMIP) to at least three members. * DCPP: DCPP proposes a 10 member ensemble of histALL up to 2030 also extended with SSP2-4.5. * Please provide output data up to 2014 as ""CMIP6 historical"" and 2015-2020 (or 2030 for DCPP) as SSP2-4.5 of ScenarioMIP.",histALL,DAMIP,1,2,1850,2020,171,1,,,,,,,,historical,all-forcing simulation of the recent past,,,,, enlarge historical ensemble rioMIP for 2015-2020.,,
Historical ALL forcing run with alternate estimates of aerosol concentrations/emissions,HistallEstaer2,DAMIP,1,3,1850,2020,171,3,hist-all-aer2,hist,all,aer2,none,AOGCM,"AER CHEM, BGM",histALLestAER2,historical ALL-forcing run with alternate estimates of aerosol forcing,none,piControl,none,CMIP,,13,
Historical ALL forcing run with alternates estimate of solar and volcanic forcing,HistallEstnat2,DAMIP,1,3,1850,2020,171,3,hist-all-nat2,hist,all,nat2,none,AOGCM,"AER CHEM, BGM",histALLestNAT2,historical ALL-forcing run with alternate estimates of natural forcing,none,piControl,none,CMIP,,13,
"* Historical well-mixed GHG-only run. * Models with interactive chemistry schemes should either turn off the chemistry or use a preindustrial climatology of stratospheric and tropospheric ozone in their radiation schemes.  This will ensure that ozone is fixed in all these simulations, and simulated responses in models with and without coupled chemistry are comparable.",histGHG,DAMIP,1,3,1850,2020,171,1,hist-GHG,hist,GHG,,none,AOGCM,"AER CHEM, BGM",histGHG,historical well-mixed GHG-only run,none,piControl,none,CMIP,,8,
Historical natural-only run,histNAT,DAMIP,1,3,1850,2020,171,1,hist-nat,hist,nat,,none,AOGCM,"AER CHEM, BGM",histNAT,historical natural-only run,none,piControl,none,CMIP,,8,
Historical solar-only transient simulation using  settings from CMIP6 historical simulation but fixed GHG&ODS (1850 level),histSOL,DAMIP,1,3,1850,2020,171,3,hist-sol,hist,sol,,none,AOGCM,"AER CHEM, BGM",histSOL,historical solar-only run,none,piControl,none,CMIP,,8,
"* Historical stratospheric-ozone-only. *  In models with coupled chemistry, the chemistry scheme should be turned off, and the simulated ensemble mean monthly mean 3D stratospheric ozone concentrations from the histALL simulations should be prescribed. Tropospheric ozone should be fixed at 3D long-term monthly mean piControl values, with a value of 100 ppbv ozone concentration in this piControl climatology used to separate the troposphere from the stratosphere. * In models without coupled chemistry the same stratospheric ozone prescribed in histALL should be prescribed. Stratospheric ozone concentrations will be provided by CCMI.",histSOZ,DAMIP,1,3,1850,2020,171,2,hist-stratO3,hist,stratO3,,none,AOGCM,"AER CHEM, BGM",histSOZ,historical stratospheric-ozone-only run,none,piControl,none,CMIP,,12,
Historical volcanic-only run,histVLC,DAMIP,1,3,1850,2020,171,3,hist-volc,hist,volc,,none,AOGCM,"AER CHEM, BGM",histVLC,historical volcanic-only run,none,piControl,none,CMIP,,9,
Extension of aerosol-only run under SSP2-4.5,ssp245AER,DAMIP,1,1,2021,2100,80,3,ssp245-aer,ssp245,aer,,none,AOGCM,"AER CHEM, BGM",ssp245AER,aerosol-only SSP2-4.5 run,none,hist-aer,none,DAMIP,,10,
